,word,total_times,proportion,aver_ret
0,sandelman,1,0.0,-0.042903486461538486
1,avert,211,0.47393364928909953,0.00029781318527378786
2,derbyshir,1,1.0,0.06141538117062712
3,hansen,39,0.5641025641025641,0.01299364750731387
4,mer,23,0.5652173913043478,0.007550315036886947
5,ctla,11,0.5454545454545454,-0.00598201628303047
6,assemblyman,3,0.3333333333333333,-0.01227713744760771
7,hooper,14,0.5,0.0054599128225947475
8,tatarstan,1,0.0,-0.007167034880395466
9,qsuper,1,0.0,-0.005522975723404242
10,brew,185,0.5027027027027027,0.005880997760897331
11,neighborhood,120,0.4,-0.001379253404277622
12,geiger,2,0.5,-0.0006213926889121106
13,nostalg,2,1.0,0.054476203001311674
14,positiveimpact,2,0.5,-0.0006779157687710981
15,waymel,1,0.0,-0.008643677045308589
16,sahak,1,1.0,0.012206018451653904
17,smock,1,0.0,-0.042713679586095316
18,terndrup,1,1.0,0.02764413125825204
19,valuer,2,0.0,-0.00566940081152263
20,centralis,12,0.5833333333333334,-0.0003571809181600115
21,joust,5,0.4,-0.0033505561609193215
22,axiron,5,0.2,-0.00812298120189941
23,davidstea,18,0.5,0.00019424220555002073
24,szeski,1,1.0,0.0014260720166406286
25,zimmermann,4,0.75,0.003793968154607234
26,dpi,1,1.0,0.010535997114832642
27,unsubscrib,2,0.5,0.02895100537855537
28,sucden,2,0.0,-0.0024254136780625926
29,gladiat,4,0.5,-0.0007125074514881605
30,multiplex,10,0.4,0.009767770746691136
31,vaio,1,1.0,0.07899084708443548
32,œnon,5,0.8,0.0045605906343659675
33,insead,2,0.0,-0.0026609607289099163
34,placement,626,0.4904153354632588,0.0003941702580877379
35,fruiti,4,0.75,0.028996887368734386
36,braxton,17,0.6470588235294118,0.009716783817351986
37,lion,444,0.44819819819819817,-0.002402507145318076
38,belam,2,0.5,-0.0030794371360946832
39,barium,1,0.0,-0.005720976
40,saadon,1,1.0,0.0011808436971351907
41,lynchburg,1,1.0,0.01887299094504005
42,propar,2,0.5,-0.0023444495763890556
43,superama,4,0.5,-0.0013184641132851728
44,terzo,1,0.0,-0.19186276178602624
45,medallia,4,0.25,-0.0871046230060156
46,hadi,9,0.7777777777777778,0.006967458157828795
47,saldivar,2,0.5,0.002628391802188291
48,zahrat,1,0.0,-0.004232734606386612
49,muehlen,12,0.16666666666666666,-0.00970531006085244
50,resil,1,1.0,0.006282716454786993
51,cyberinc,1,1.0,0.005912586835758925
52,karlskoga,1,0.0,-0.01498883698316961
53,elenbecestat,5,0.4,-0.007468269942681527
54,optometrist,2,1.0,0.006601067620636685
55,silverfleet,1,0.0,-0.0055501730372671506
56,chorea,4,0.5,0.07028287882884211
57,additon,7,0.5714285714285714,0.007352600336144847
58,sharug,1,1.0,0.003105610470795149
59,usoilc,3,0.6666666666666666,0.0011115407135272595
60,minsur,1,0.0,-0.001274312798536772
61,ufc,4,0.5,0.02040949626163008
62,gasd,6,0.3333333333333333,0.004316494564841972
63,mata,1,1.0,0.01751744451131224
64,demchenko,2,1.0,0.002758833764724755
65,gaol,1,0.0,-0.001984835461663445
66,aua,1,0.0,-0.003363948
67,suro,1,0.0,-0.00765788646798032
68,comdata,3,0.3333333333333333,-0.003420995975982657
69,rdt,1,1.0,0.002101567991845143
70,mellon,198,0.46464646464646464,-0.0040615048616910255
71,dandenong,1,1.0,0.0037794626957851156
72,krpata,1,1.0,0.0054919626551725356
73,piacenza,3,0.6666666666666666,0.01436422660906835
74,bruckner,2,0.5,0.0069735230522540905
75,yudistira,1,1.0,0.00775767592401222
76,hanau,2,0.5,-0.005053249174280015
77,thrasher,3,0.0,-0.00919586467115449
78,rauch,5,0.4,-0.05791724448153659
79,ypc,2,0.0,-0.014525669307961665
80,dieselg,13,0.5384615384615384,0.009723591059079715
81,puff,22,0.5,-0.001471575558708948
82,castelvetri,1,1.0,0.008356704867752548
83,warrant,1080,0.43796296296296294,-0.013017138992962933
84,checa,1,0.0,-0.008721672333430233
85,osler,6,0.5,-0.012613852660342255
86,nelvana,1,1.0,0.023787936398747333
87,beck,20,0.55,0.004994242226914995
88,haaland,4,0.0,-0.003106839758123316
89,reddal,11,0.36363636363636365,0.0006521402803049165
90,eroica,1,0.0,-0.0009055462580645117
91,printrit,2,1.0,0.7660307216125387
92,steinemann,1,1.0,0.0027848630020505037
93,wonga,2,0.5,-2.6286875748429976e-05
94,utml,1,0.0,-0.038872004741732274
95,musicmagpi,1,1.0,0.0050635029178081785
96,regulatorisk,1,1.0,0.03640162510275445
97,osram,61,0.5245901639344263,0.0028008207129376836
98,headi,7,0.5714285714285714,-0.001509577666427523
99,asmode,19,0.21052631578947367,-0.011167859799271826
100,salmir,2,1.0,0.013347202656667542
101,kindr,44,0.5,-0.0005823024756544422
102,waddington,7,0.42857142857142855,-0.0017621651809985178
103,holsheim,2,0.0,-0.012368703160419691
104,underp,1,1.0,0.0006743908155178223
105,cacei,12,0.3333333333333333,-0.0036011030897735766
106,plr,1,1.0,0.002359078852233689
107,breadth,81,0.48148148148148145,0.009274945203458947
108,trick,66,0.5303030303030303,-0.003940281079512598
109,brulpadda,2,0.5,-0.00347380229415848
110,nieswandt,1,1.0,0.010318484147588784
111,centerpl,1,0.0,-0.018028899691248736
112,holol,1,0.0,-0.006185120226917118
113,kos,10,0.4,-0.01856964413004029
114,borner,1,0.0,-0.013354940029702968
115,hallett,4,0.5,0.005718117567490368
116,saskatoon,10,0.6,0.003719801323167355
117,mexicobrazilian,1,0.0,-0.005932480790901785
118,tramwel,1,1.0,0.005724751186602922
119,longhorn,17,0.7058823529411765,0.008452440033431296
120,ftr,13,0.5384615384615384,0.0019250815371417648
121,zhe,1,0.0,-0.0004976992875817102
122,brittain,11,0.2727272727272727,-0.009173911469843678
123,noser,3,0.3333333333333333,-0.003591327158923158
124,counterpropos,10,0.4,0.008536571226057794
125,gaana,5,0.8,0.008129248232682301
126,badr,2,0.5,0.0028260254855840177
127,nfe,5,0.6,0.0024111508382236137
128,marcela,4,0.5,-0.00185362286194704
129,amman,13,0.46153846153846156,-0.0001817978570024057
130,hexaval,3,0.6666666666666666,0.0031828493749298573
131,tpd,7,0.5714285714285714,0.0013936158019452313
132,emphasi,171,0.4678362573099415,-0.002367253371891856
133,prodeco,1,1.0,0.0067393243676068535
134,amzn,27,0.4444444444444444,-6.135404820314218e-05
135,rezend,1,0.0,-0.0062486850990099
136,santangelo,2,1.0,0.02102332035890632
137,osi,37,0.6486486486486487,0.032682125266916585
138,activextend,2,0.0,-0.036528483751913865
139,tigress,37,0.5945945945945946,-0.0008748055478815461
140,delfzijl,1,0.0,-0.003239178798092266
141,garanti,10,0.4,-0.003595035529140221
142,altacorp,14,0.35714285714285715,-0.0023209465859209922
143,alitti,1,0.0,-0.04508531945454555
144,kristen,42,0.5,-0.003841358151815774
145,gloomasia,1,0.0,-0.014241946856056271
146,pctgoldman,1,0.0,-0.03752498049961512
147,systemverilog,1,0.0,-0.0020649486774281327
148,pom,1,0.0,-0.032456103065703505
149,raschell,1,0.0,-0.0011588652244991825
150,pubg,12,0.6666666666666666,0.023826255976185356
151,theresa,367,0.4768392370572207,-0.0015341591621242582
152,ptolemi,1,1.0,0.02418626294944759
153,mermov,1,1.0,0.0019103676918239207
154,grasim,2,0.0,-0.008183023259731305
155,metvix,1,1.0,0.02241364562068965
156,cema,2,0.5,0.0015614988051771872
157,amado,1,0.0,-0.006759274687235129
158,andor,1,1.0,0.005233459196671665
159,karaman,1,0.0,-0.0058818936640399186
160,chengdong,5,0.4,-0.006887969204064188
161,corteva,12,0.4166666666666667,-0.0053349889248101474
162,pop,257,0.48638132295719844,0.0038150363400432947
163,gestamp,5,0.6,0.006398800253898443
164,poorna,1,0.0,-0.0011784002244250276
165,perrett,1,0.0,-0.00516105598746471
166,ntm,10,0.7,0.10795546093426305
167,inscap,1,0.0,-0.027169334671031192
168,bidzina,3,0.0,-0.008124146714478385
169,restraint,34,0.35294117647058826,-0.004615636924498492
170,estimatesapparel,1,0.0,-0.106769384598691
171,pouchiti,1,0.0,-0.5988655281488008
172,itr,2,1.0,0.010848337082641313
173,ocd,1,0.0,-0.030822016830552003
174,warfel,1,0.0,-0.00010150639639631325
175,hover,222,0.4954954954954955,-0.0021632899270765155
176,higman,1,1.0,0.03839038812839056
177,uticra,1,0.0,-0.006351245611086753
178,locke,1,0.0,-0.00771575154626648
179,booti,5,0.4,-0.007672958334622807
180,haidilao,1,1.0,0.00479919295389505
181,pollster,9,0.5555555555555556,0.003785971436129771
182,valvitalia,2,1.0,0.012660255803990892
183,jardianc,21,0.7619047619047619,0.005464813272534237
184,palli,25,0.44,0.010214323257585025
185,haida,1,0.0,-0.015728310161740217
186,aranda,1,1.0,0.015605389705719331
187,agrochem,19,0.3684210526315789,-0.01128042027275769
188,requset,1,1.0,0.009365816179706344
189,sall,15,0.7333333333333333,0.001705860490251288
190,sentimentsoutheast,1,0.0,-0.025331299713463703
191,dxt,2,0.5,0.044156652917754065
192,sister,130,0.5230769230769231,-0.004245326168961954
193,vangaal,2,0.0,-0.011614025369367889
194,tsla,26,0.5,0.010823185217445432
195,wisekey,94,0.40425531914893614,0.007118674076552745
196,erik,92,0.44565217391304346,0.00639117398750423
197,erythropoiesi,1,1.0,0.01829940346594989
198,frenchman,23,0.5652173913043478,0.0019150568320532538
199,baldo,4,0.25,-0.0018212977361698561
200,parent,1808,0.514933628318584,0.0002047060187152586
201,booksel,19,0.42105263157894735,-0.006144951029837173
202,oxon,1,1.0,0.003033624538920879
203,singh,401,0.516209476309227,-0.0005355540306601744
204,meaning,616,0.5064935064935064,-0.0005036337007069894
205,billabl,3,1.0,0.055363078534333816
206,jasser,3,1.0,0.010818239880644865
207,youtubedown,1,0.0,-0.05830595133801191
208,eframovich,1,1.0,0.004821582056087644
209,cobe,1,0.0,-0.0073981668902059735
210,dongfang,4,0.5,-0.0030724698065018718
211,quanergi,3,0.3333333333333333,-0.02937391458329826
212,satorp,5,1.0,0.010006945469043793
213,roux,4,0.5,-0.0007738304459418633
214,chirpi,1,1.0,0.09086189590336356
215,trebor,1,1.0,0.01128816834831453
216,sokol,7,0.7142857142857143,0.013861759084109828
217,cardiomyopathi,18,0.5,0.008196947612873488
218,marketsid,2,0.0,-0.00627677534339475
219,indulg,16,0.5,0.017301483337505925
220,hyperzon,1,1.0,0.007108804185265977
221,taraji,1,0.0,-0.0054618114386021785
222,arnon,3,0.3333333333333333,-0.007101613317360357
223,ahsan,1,0.0,-0.07051083162713237
224,nuova,1,1.0,0.01782827339509435
225,oop,1,1.0,0.0019040726363635594
226,dumb,19,0.42105263157894735,-0.002142423217492033
227,circuit,842,0.5190023752969121,0.0006402584542105536
